Tugas,Tanggal Mulai,Tanggal Selesai,Milestone,Deliverable
"Fase 1: Fondasi Sistem","2025-10-01","2025-10-14","Fondasi Sistem Selesai",""
"1.1 Inisialisasi proyek dan konfigurasi env","2025-10-01","2025-10-02","Environment Terkonfigurasi","screenshot_env_config.png"
"1.2 Instalasi Spatie Permission dan DomPDF","2025-10-03","2025-10-04","Dependensi Terinstal","screenshot_composer_packages.png"
"1.3 Membuat migrasi database untuk tabel","2025-10-05","2025-10-07","Skema Database Dibuat","screenshot_database_tables.png"
"1.4 Membuat model Eloquent dengan relasi","2025-10-08","2025-10-10","Model Terimplementasi","screenshot_model_relations.png"
"1.5 Konfigurasi role dan permission","2025-10-11","2025-10-12","RBAC Terkonfigurasi","screenshot_roles_permissions.png"
"1.6 Konfigurasi autentikasi berbasis role","2025-10-13","2025-10-14","Alur Login Berfungsi","screenshot_login_redirect.png"
"Fase 2: Manajemen Data Master","2025-10-15","2025-10-28","CRUD Data Master Selesai",""
"2.1 Resource Tahun Ajaran dengan RBAC","2025-10-15","2025-10-17","Resource TahunAjaran Selesai","screenshot_tahun_ajaran.png"
"2.2 Resource Kelas dengan wali kelas","2025-10-18","2025-10-20","Resource Kelas Selesai","screenshot_kelas_crud.png"
"2.3 Resource Siswa dengan form wizard","2025-10-21","2025-10-24","Resource Siswa Selesai","screenshot_siswa_wizard.png"
"2.4 Resource Mata Pelajaran dengan guru","2025-10-25","2025-10-27","Resource MataPelajaran Selesai","screenshot_mata_pelajaran.png"
"2.5 Update resource manajemen pengguna","2025-10-28","2025-10-28","Resource User Diperbarui","screenshot_user_management.png"
"Fase 3: Fungsionalitas Inti","2025-10-29","2025-11-18","Modul Aktivitas Pembelajaran Selesai",""
"3.0 Audit dan persiapan pra-migrasi","2025-10-29","2025-10-30","Audit Selesai","screenshot_audit_results.png"
"3.1 Konfigurasi redirect autentikasi role","2025-10-31","2025-11-03","Redirect Login Berfungsi","screenshot_role_redirect.png"
"3.2 Instalasi dan konfigurasi Flux UI","2025-11-04","2025-11-06","Flux UI Terinstal","screenshot_flux_ui_test.png"
"3.3 Membuat komponen Livewire aktivitas","2025-11-07","2025-11-10","Komponen Aktivitas Selesai","screenshot_livewire_components.png"
"3.4 Pencatatan kehadiran dengan kartu","2025-11-11","2025-11-13","Form Kehadiran Berfungsi","screenshot_attendance_cards.png"
"3.5 Input nilai dan partisipasi","2025-11-14","2025-11-16","Input Nilai Berfungsi","screenshot_grade_input.png"
"3.6 Halaman daftar dan detail aktivitas","2025-11-17","2025-11-18","CRUD Aktivitas Selesai","screenshot_activity_list.png"
"Fase 4: Antarmuka Siswa","2025-11-19","2025-12-02","Portal Siswa Selesai",""
"4.0 Definisi route siswa","2025-11-19","2025-11-19","Route Terkonfigurasi","screenshot_student_routes.png"
"4.1 Layout siswa dengan Flux UI","2025-11-20","2025-11-22","Layout Siswa Selesai","screenshot_student_layout.png"
"4.2 Implementasi dashboard siswa","2025-11-23","2025-11-25","Dashboard Berfungsi","screenshot_student_dashboard.png"
"4.3 Tampilan riwayat kehadiran","2025-11-26","2025-11-28","Riwayat Kehadiran Selesai","screenshot_attendance_history.png"
"4.4 Tampilan riwayat nilai","2025-11-29","2025-12-01","Riwayat Nilai Selesai","screenshot_grade_history.png"
"4.5 Halaman profil siswa","2025-12-02","2025-12-02","Halaman Profil Selesai","screenshot_student_profile.png"
"Fase 5: Pelaporan","2025-12-03","2025-12-16","Laporan PDF Berfungsi",""
"5.1 Command kalkulasi laporan","2025-12-03","2025-12-05","CalculateReports Selesai","screenshot_calculate_reports.png"
"5.2 Desain layout laporan (Blade)","2025-12-06","2025-12-08","Template Laporan Selesai","screenshot_report_template.png"
"5.3 Generasi laporan siswa","2025-12-09","2025-12-11","Laporan Siswa Berfungsi","screenshot_student_report_pdf.png"
"5.4 Generasi laporan kelas","2025-12-12","2025-12-14","Laporan Kelas Berfungsi","screenshot_class_report_pdf.png"
"5.5 Unduh laporan mandiri siswa","2025-12-15","2025-12-16","Unduh Laporan Mandiri Selesai","screenshot_self_report.png"
"Fase 6: Dashboard dan Pemolesan","2025-12-17","2025-12-26","UI/UX Dipoles",""
"6.1 Widget dashboard admin","2025-12-17","2025-12-19","Widget Admin Selesai","screenshot_admin_dashboard.png"
"6.2 Peningkatan dashboard guru","2025-12-20","2025-12-22","Dashboard Guru Selesai","screenshot_teacher_dashboard.png"
"6.3 Finalisasi dashboard siswa","2025-12-23","2025-12-24","Dashboard Siswa Final","screenshot_student_dashboard_final.png"
"6.4 Perbaikan UI/UX dan tooltip","2025-12-25","2025-12-26","UI Dipoles","screenshot_ui_improvements.png"
"Fase 7: Pengujian dan Dokumentasi","2025-12-27","2026-01-02","Pengujian Selesai",""
"7.1 Checklist pengujian fungsional","2025-12-27","2025-12-28","Uji Fungsional Lulus","screenshot_test_results.png"
"7.2 Pengujian performa database","2025-12-29","2025-12-29","Benchmark Performa Tercapai","screenshot_benchmark_results.png"
"7.3 Jaminan kualitas kode","2025-12-30","2025-12-30","Kualitas Kode Lulus","screenshot_code_review.png"
"7.4 Perbaikan bug dan uji regresi","2025-12-31","2025-12-31","Bug Diperbaiki","screenshot_bug_fixes.png"
"7.5 Dokumentasi pengguna (manual PDF)","2026-01-01","2026-01-01","Manual Pengguna Dibuat","manual_pengguna.pdf"
"7.6 Dokumentasi teknis","2026-01-02","2026-01-02","Dokumentasi Teknis Selesai","dokumentasi_teknis.pdf"
"Fase 8: Pengumpulan Akhir","2026-01-03","2026-01-04","Proyek Dikumpulkan",""
"8.1 Review dan pembersihan kode","2026-01-03","2026-01-03","Kode Dibersihkan","screenshot_final_code.png"
"8.2 Pengujian akhir semua alur kerja","2026-01-03","2026-01-03","Uji Akhir Lulus","screenshot_final_tests.png"
"8.3 Finalisasi dokumentasi","2026-01-03","2026-01-03","Dokumentasi Final","dokumentasi_final.pdf"
"8.4 Pengemasan proyek dan backup","2026-01-04","2026-01-04","Paket Siap","screenshot_submission_folder.png"
